Resource Name,Contact Phone,Website Address,Location (if applicable),NOTES
AZ Vital Records,602-364-1300,,"1818 W Adams PO Box 6018 Phoenix, AZ 85005",https://www.azdhs.gov/licensing/vital-records/index.php
Social Security,1-800-772-1213,www.socialsecurity.gov,"250 N 7th Ave, Phoenix, AZ 85007 
16241 N Tatum Blvd, Phoenix, AZ  85032 ","This website link has information for  Social Security offices around the  state, not just in Phoenix. This could  be useful for clients who may be  moving outside of the city but still  need this resource: http://www.ssofficelocation.com/arizona-social-security-offices-sos3"
AZ Motor Vehicle Division,602-255-0072,https://azdot.gov/motor-vehicles/mvd-hours-and-locations,,The website link has information regarding MVD locations
Homeless ID Project,602-223-3427,http://azhomeless.org/index.html,"206 South 12th Avenue, Phoenix, AZ 85007","Services offered: AZ Driver License, AZ  Identification card, US Birth Certificate, Document Storage 
M-F 7:30 AM & 9:00 AM for Walk-in Sign-ups 
General Questions: info@azhomeless.org "
Saint Joseph the Worker,602-417-9854,https://www.sjwjobs.org/,"1125 W Jackson Street, Phoenix, AZ 85007","Document replacement and travel  aid, Job readiness, Job search, and  employment support"
Saint Vincent de Paul,480-380-4515,https://www.stvincentdepaul.net/programs,"420 W Watkins Street, Phoenix,  AZ 85003",Document replacement and travel aid 
Salvation Army Tempe,480-967-8649,,"40 E University Dr., Tempe, AZ  85280",Document replacement and travel aid
,,,,
MEDICAL HEALTH SERVICES,,,,
FREE HEALTH CARE,,,,
Healthcare for the Homeless,602-372-2100,,"220 S 12th Avenue Phoenix, AZ 85007","Health Care for the Homeless (HCH) provides health care services for homeless individuals  and families throughout Maricopa County.  We deliver quality healthcare to homeless  people through street outreach, integrated  primary care, mental health services, substance abuse services, case management, and nutrition services."
Mission of Mercy Mobile Clinic,602-861-2233,www.amissionofmercy.org,"360 E Coronado Rd. #160 Phoenix, AZ 85004","Free mobile medical clinic serving the uninsured working poor and homeless persons of all ages with no sliding scales or co-pays. Offers primary care, child services,  diabetes program, and prescription services. Appointment is required. No walk-ins. Does not offer dental care. "
,623-932-2723 (Mondays),,"First Southern Baptist Church of Avondale 
1001 N Central Ave, Avondale, AZ 85323",
,"602-486-7798 (1st, 3rd Tuesdays)",,"Maryvale Church of Nazarene 
3201 N 51st Ave, Phoenix, AZ 85031",
,"602-486-7798 (2nd, 4th Tuesdays)",,"Black Family & Child Services of Arizona 
1522 E. Southern Ave,  Phoenix, AZ 85042",
,602-486-7798 (Wednesdays),,"Shepherd of the Valley Lutheran Church 
1500 W Maryland Ave, Phoenix, AZ 85015",
,"602-486-7798 (2nd, 4th Fridays)",,"Murphy Education & Health Center 
3140 W Buckeye Rd., Phoenix, AZ 85009",
,602-486-7798 (Thursdays),,"Christ the King Community Center 
1616 E Broadway Rd., Mesa, AZ 85204",
Salvation Army,602-553-0988,http://www.salvationarmyusa.org/,"4343 N 16th Street, Phoenix AZ 85016","Helps disaster survivors, cure hunger, overcome poverty, fight human trafficking, stop domestic abuse, equip families, teach kids, empower arts, assist the unemployed, combat addiction, love the elderly, serve veteran, share God’s love. Prescription Drug Assistance Program."
,602-252-4478,,"628 N 3rd Ave, Phoenix, AZ 85003",
,602-267-4100,,"2707 E Van Buren St, Phoenix, AZ 85008",
,602-256-4500,,"1625 S Central Ave, Phoenix, AZ 85004",
,602-267-4122,,"2702 E Washington St,  Phoenix, AZ 85034",
,602-233-9272,,"4318 W Clarendon Ave,  Phoenix, AZ 85031",
HOME MEDICAL EQUIPMENTS,,,,
St. Vincent de Paul Health Center/Friends of St. Ann ,602-261-6896,https://www.stvincentdepaul.net/programs,"420 West Watkins Road,  Phoenix, AZ 85003","Loans out home medical equipment for those in need.  Monday-Friday, 9:00 am 4:00 pm"
Southwest Lending Closet ,623-932-1016,,"218 North Central Avenue, Avondale, AZ 85323","Loans out medical equipment. 
MWF, 9:00 am- 12:00 pm 
T/TH, 12:00 pm- 3:00 pm Sat, 9:00 am- 12:00 pm"
PRESCRIPTION ASSISTANCE PROGRAMS,,,,
RX Outreach,"1-800-769-3880 
1-888-796-1234",www.rxoutreach.com,,Patient assistance program. Non-profit mail order pharmacy.
Glaxo Bridges to Access,1-888-825-5249,https://www.gskforyou.com/,,Patient Assistance Program/Free Medications
Medication Assistance,800-503-6897,www.needymeds.org,,Discounted Medication programs; Medication Rebates and Coupons by Medication Brand
Partnership for Prescription Assistance,,www.pparx.org/Intro.php,,Helps qualifying patients get coverage for prescriptions through public/private programs
Copper Rx Card/ Arizona Rx Card,1-888-227-8315,Arizonarxcard.com,,"Diabetic supplies, prescription assistance, pet pharmacy assistance. Offers drug discounts ranging from 15-55% will cover supplies such as insulin, glucometers, syringes & test strips"
Community Assistance Program,888-311-6224,Caprxprogram.org,,Rx medication Card a Community Assistance  Program to help the uninsured & underinsured
FamilyWize,866-810-3784,www.familywize.org,,"Discounted Prescription Drug Card program.  You get the familywize card via app, email, or text."
MEDICAL RESPITE CARE,,,,
Circle the City,602-776-9000,,"333 West Indian School  Rd., Phoenix, AZ 85013",Provides Sub-Acute Care for the homeless  population
Respite Shelter,602-870-4353,,"7000 N Central Ave, Bldg  F, Phoenix, AZ 85020","Men discharged from a hospital.  
respiteshelter@yahoo.com 
S/W pager: 602-201-3999"
HOSPICE,,,,
Hospice of the Valley,602-530-6900,https://www.hov.org/,,Care for the terminally ill patients and their  families
IMMUNIZATION SERVICES,,,,
"Available in various pharmacies (e.g. Walgreens, Walmart, CVS, etc.). Check which pharmacy will be covered by your insurance.",,,,
Chandler Regional Hospital Adult Immunization Hotline,480-728-2004,,,Free immunizations for uninsured and  underinsured adults at walk-in clinics. Initial  administration fee of $15. TB tests given  monthly. Call for times and locations.
Chandler Regional Hospital Children’s Immunization Hotline,480-728-3777,,,"Free immunization for children who are  uninsured or underinsured, AHCCCS, Kids  Care, and Indian Health Care. Call for times  and locations of upcoming walk- in clinics."
SCHOOL- BASED HEALTH SERVICES,,,,
Banner School-Based  Health Services,480-412-6344,https://www.dvusd.org/cms/lib/AZ01901092/Centricity/Domain/591/CCMCSchoolBasedClinicsFSv5.pdf,,Cost effective service. Accessible through  your child’s school nurse. Several schools  around the valley. Students do not need to  attend these schools in order to receive care.
,,,,
COUNSELING,,,,
GENERAL RESOURCES,,,,
Dorothy B. Mitchell Counseling Center (A New Leaf),480-969-6955,http://www.turnanewleaf.org/services/youth-behavioral.html,"1655 E University Dr., Mesa, AZ 85203","Confidential services for children, youth, and  their families. Counseling, case management,  medication management."
West Valley Community  Behavioral Health (A New Leaf),623-934-1991,,"8581 N 61st Avenue, Glendale, AZ 85302",
AmeriPsych,602-728-0630,http://www.ameripsych.biz/locations.cfm,"2400 W Dunlap Ave, Ste 124, Phoenix, AZ 85021","Outpatient counseling- to enhance interpersonal skills such as feeling and anger  management, problem solving, conflict resolution, making sound decisions, and effective parenting. School Based Counseling  for children who struggle academically or socially due to behavioral issues such as short  attention span, impulsivity, and/or poor  anger management. Family therapy also  available."
Arizona Marriage and  Family Therapy Clinic,480-282-8778,http://www.azmftclinic.org/,"6100 W Gila Springs Place, Suite 19, Chandler, AZ 85226","Offers individual, couple, premarital, family,  and group counseling services. Fee for service, starts at $35/hour, takes some insurances. "
ASU Clinical Psychology Center,480-965-7296,,"1100 E University Drive.,  Tempe, AZ (University  Center Bldg., Suite 116)","Child and family team: provides counseling  for a child anxiety and/or mood disorder,  family therapy, ADHD, parent-child  
communication, divorce adjustment,  reducing tantrums, and social skills. 
Health and wellness team: provides  
counseling for depression and anxiety  associated with adjusting to a medical  diagnosis, headache/migraine, chronic pain  symptoms, stress related to a cancer  diagnosis, fatigue or difficulty sleeping, any  medical condition complicated by stress"
ASU Counseling Center,602-496-1155,,Downtown Phoenix,"Counseling services for family problems,  relationships, depression, anxiety, family  problems, personal problems, career counseling"
,480-727-1255,,Polytechnic,
,480-965-6146,,Tempe,
,602-543-8125,,West,
Banner Behavioral Health Hospital,480-941-7500,,"7575 E Earl Dr., Scottsdale, AZ 85251",Inpatient substance abuse and mental health. Outpatient- Mental health and substance  abuse services. The Villa- Residential  substance abuse services- geared especially  for veterans
Black Family and Child Services,602-243-1773,,"1522 E Southern Avenue,  Phoenix, AZ 85040","Provides behavior health counseling for  children ages 3-17. Substance abuse counseling for adults ages 18-65. Provides  alcohol screening, DUI and domestic violence  counseling."
"Catholic Charities  
Community Services",602-749-4405,https://www.catholiccharitiesaz.org/about-us/history,"2220 S Country Club Drive, Suites 106, 108,  Mesa, AZ 85210","Behavioral health counseling for individuals,  couples, families, and children. No AHCCCS  patients. 
"
,602-997-6105,,"1825 W Northern Avenue, Phoenix, AZ 85021",
,623-486-9868,,"7400 W Olive Avenue,  #10, Peoria, AZ 85345",
Center for Autism and  Related Disorders,480-812-2110,https://www.centerforautism.com/home.aspx,"290 S Alma School Rd.,  Suite 01, Chandler, AZ  85224","Offers therapy to children with behavioral  problems, short term therapy for families  and children up to age 5 "
,480-482-5005,,"538 S Gilbert Rd., Suite 101-103, Gilbert, AZ 85296",
,602-325-2485,,"2400 W Dunlap Ave.,  Suite 100, Phoenix, AZ  85021",
,602-362-4200,,"15721 N Greenway Hayden Loop, Suite 103,  Scottsdale, AZ 85260",
,520-585-5755,,"2600 N Wyatt Dr., Tucson, AZ 85712",
Centro de Amistad,602-393-3840,,"2923 N 33rd Ave., Phoenix, AZ 85017",Focuses on mental health and substance  abuse services
,480-839-2926,,"8202 Avenida del Yaqui, Guadalupe, AZ 85283",
,480-833-0227,,"460 N Mesa Drive, Suite 120, Mesa, AZ 85201",
Chicanos Por La Causa,623-247-0464,,"6850 W Indian School  Rd., Phoenix, AZ 85033","Outpatient behavioral health for families,  adults, children, and adolescents.  
Psychological and psychiatric treatment and  counseling for HIV prevention."
,480-615-3800,,"310 S Extension Rd., Mesa, AZ 85210",
,602-241-6656,,"1107 E Tonto St., Phoenix, AZ 85034",
,602-233-9747,,"3639 W Lincoln St., Phoenix, AZ 85009",Level II treatment program and transitional  living program for substance abuse.
,623-247-0464,,"6850 W Indian School Rd., Phoenix, AZ 85033",
Child Crisis/Family Resource Center,480-834-9424,,"817 N Country Club, Mesa, AZ 85201 (Family Resource Center)","Child Crisis Center offers behavioral counseling to children ages 0-17 and their  families. Children must be on AHCCCS and  referred through the Southwest Network.  Services available for child abuse and neglect,  
foster care and adoption, attachment and"
,480-969-2308,,"604 W 9th St., Mesa, AZ  85201 (Emergency Children’s Shelter)",
,602-273-7364,,"2711 E Roosevelt, Phoenix, AZ 85008 (Emergency Children’s Shelter)",
,602-273-7363,,"2334 E Polk ST., Phoenix,  AZ 85006 (Child Crisis)",
Christian Counseling  (Dream City Church),623-561-0500,http://dreamcitychurch.us/,"21000 N 75th Ave., Glendale, AZ 85308",Christian based counseling for those  presently experiencing challenges or crisis.  Also offers variety of support groups. 
Christian Living Center,480-831-1212,http://christiancounselingarizona.com/,"2111 E Baseline Rd., #C8,  Tempe, AZ 85283","Christian substance abuse and mental health  counseling, marriage and family counseling. "
"Christi Center for Loss  and Renewal (St.  
Timothy Catholic  
Church)",480-775-5200,http://sttimothymesa.org/,"1730 W Guadalupe Rd.,  Mesa, AZ 85202",Offers grief support and counseling for children and families. 
Chrysalis,602-955-9059,https://noabuse.org/contact-us,"2055 W Northern Ave., Phoenix, AZ 85021","Victim counseling for adults, counseling for  children ages 3-17 that have experienced  domestic violence in the home, Program  Chair meets the special needs of Jewish  families experiencing domestic violence."
Deer Valley Counseling,602-750-8051,https://deerval.com/,"2301 W Dunlap Ave, Ste  206, Phoenix, AZ 85021",Offers individual and group counseling 
,480-491-0813,,"3200 N Dobson Rd., Bldg. C, Chandler, AZ 85224",
,602-535-5700,,"15849 N 71st St., Scottsdale, AZ 85254",
Desert Vista Behavioral  Health Clinic,480-344-2000,,"570 W Brown Rd., Mesa,  AZ 85201","Outpatient and psychiatric services for  adults, children, and adolescents, including  psychiatric evaluation, individual psychotherapy, psychodynamic, cognitive  behavioral, supportive therapies, family  therapy, and prescription of medication if  necessary."
"Redemption Psychiatry,  LLC",480-471-8560,https://redemptionpsychiatry.com/,"2730 S Val Vista Dr., Suite  146, Gilbert, AZ 85295","Psychiatry and counseling, including  transcranial magnetic stimulation, animal  assisted therapy and more. Personal  payment and many insurances accepted."
Dignity Memorial Network (24-hour compassion help line),1-800-343-4464,https://www.dignitymemorial.com/,,Provides grief counseling via telephone 24  hours/day
Ebony House,602-276-4288,http://ebonyhouseinc.org/,6222 S 13th St.,"Youth & Young Adult Outpatient- behavioral  health to adjust and stabilize behaviors that  affect family and community relationships.  Adult Outpatient- substance abuse treatment program. HIV education and Outreach Focused efforts on those at high risk through  one-on-one interventions, group counseling,  and HIV testing. "
,602-254-6137,,"Children Outpatient - 1616 E Indian School Rd.,  Suite 100",
,602-243-5492,,Women’s Outpatient - 8646 S 14th St.,
,602-254-6180,,Outreach Services for HIV- 39 E Jackson,
,Crisis #: 602-796-6775,,,
"Franciscan Renewal  
Center",480-948-7640,,5802 E Lincoln Dr.,"Provides counseling for divorce, separation  and significant relationship endings, grief  support and groups and depression/anxiety  support groups."
Friendly House,602-257-1870,,113 W Sherman St.,"Family services department assists children  and families to stabilize personal and home  environments through emergency relief,  counseling, and parent training."
Friendship Community  Mental Health Center,602-241-6656  ext. 107,,730 E Highland Ave,"Outpatient services for adults, seniors, and  children to meet specific mental health  needs."
Give an Hour,,www.giveanhour.org,,Offer counseling to military personnel and  their families affected by the conflicts in Iraq  and Afghanistan. Go to website to search for  a provider to contact about counseling.
La Frontera Arizona,"480-784-1514
Crisis Hotline:  480-784-1500",,"1232 E Broadway Rd.,  Ste. 120","Individual, group, marriage and family  counseling. Psychiatric evaluation, medication management services, substance  abuse services."
LDS Family Services,800-537-2229,www.providentliving.org,"235 S El Dorado, Mesa,  AZ 85202 ","Substance abuse and sexual addiction  support groups, crisis pregnancy counseling,  mental health counseling. Must call for an  appointment."
Magellan,"1-800-564-5465 
Crisis Line 1-800-631-1314 
Peer support  602-347-1100",www.magellanofaz.com,,"Intake, screening, evaluation, and referral to  treatment for substance abuse, domestic  violence, SMI, and general mental health for  adults and youth. 24- hour crisis and peer  support hotlines. Case management and  support services SMI."
Native American Connections,602-424-2060,,4520 N Central Suite 100,"Offers traditional Native healing and Western  Medicine. Substance abuse, general mental  health with co-occurring disorders."
Native Health,602-279-5262,,4041 N Central Ave,"Domestic violence services. Individual, group,  and family counseling. Alcohol and substance  abuse treatment."
New Horizons Counseling Service,602-939-6567,,"5062 W 19th Ave, Ste  #102","Provides general counseling, substance abuse  treatment, domestic violence counseling,  parenting education and skills training, anger  management treatment, and sexual offender  treatment."
"Northern Arizona  
University",602-776-4636,,15451 N 28th Ave,"Counseling provided by supervised practicum  students for adjustment concerns, stress management, grief/loss, career issues,  relationship problems, parenting and family  issues, and coping skills."
Omega Counseling,602-495-9306,,"5800 N 19th Ave, #110","Provides individual and group counseling on  domestic violence, substance abuse, and  anger management."
Organization for Non violence education,623-934-0696,www.oneincusa.org,,Provides individual and group counseling for  anger management and domestic violence.  Gender specific and court order approved.  Men’s groups are offered Mondays in the  East Valley and Wednesdays in Glendale.  Women’s groups are offered Thursdays in  Glendale.
Phoenix Christian Counseling Associates,602-548-8508,,"3101 W Peoria Ave, #101","Provides a full range of affordable, professional, biblically-based counseling  services"
Phoenix Indian Medical Center,602-263-1200,,4212 N 16th St.,Offers outpatient substance abuse treatment  and mental health counseling and inpatient  medical services for Native Americans  belonging to a federally recognized tribe
Phoenix Interfaith Counseling,602-248-9247,,"4201 N 16th St., #250","Provides psychotherapy and psychiatric  services for adults, families, adolescents, and  children. Offers specialized services for  suicidal and self-harming behaviors and  marital/sexual therapy."
,602-943-2999,,2400 W Dunlap Ave,
,480-317-9868,,3910 S Rural Rd.,
The Potter’s House,602-254-9701,,4220 N 20th Ave Suite 100,"Offer outpatient substance abuse treatment,  sex offender treatment, and individual,  family, and group counseling"
Youth Evaluation and  Treatment Valley Clinical Services,480-661-1075,,4414 N 19th Ave,"Provides outpatient behavioral health  services, medication management, individual  adult and child counseling, eating disorder  treatment, and substance abuse treatment."
Arizona Children’s  Association,,,,Outpatient behavioral health services for  children under the age of 18. Adults can only  be involved in counseling if they are related  to the child or if they are involved in family  therapy.
Arizona Phoenix Baptist  Children’s Services,800-678-0648,www.abcs.org,,Provides a Christ-centered approach to a  wide variety of issues that individuals may be  facing.
Catholic Charities  Community Services,602-749-4405,https://www.catholiccharitiesaz.org/about-us/history,"2220 S Country Club Drive, Suites 106, 108,  Mesa, AZ 85210","Provides counseling for individuals, families, couples, children, and adolescents dealing with abuse, adolescent behavior, anger management, anxiety, communication, depression, domestic abuse, divorce, family  conflict, grief and loss, HIV/AIDS, marriage and relationship skills, parenting, school  adjustment, self- esteem, stress  management, substance abuse, and pregnancy. "
,602-997-6105,,"1825 W Northern Avenue, Phoenix, AZ  85021",
,623-486-9868,,"7400 W Olive Avenue,  #10, Peoria, AZ 85345",
Christian Family Care  Agency,602-234-1935,,3603 N 7th Ave,"Provides child and family counseling  programs to help children, families, and  individuals resolve social and emotional  issues. Pregnancy counseling also available."
,,,21000 N 75 th Ave,
,,,10215 N Saguaro Boulevard,
,,,9325 S Rural Rd,
,,,655 E University Dr.,
Family Service Agency,602-264-9891,,"2400 N Central Ave, Suite  400",Provides outpatient behavioral/mental  health and substance abuse treatment and  free pregnancy counseling.
,480-507-8619,,"943 S Gilbert Rd., Suite 204",
Jewish Family and Children’s Services,602-353-0703,,3306 W Catalina Dr,"Children & Teens- Counseling and behavioral  health, substance abuse ages 12-17,  outpatient mental health services, transition  support for youth exiting state foster care, HIV/AIDS services. Adult- counseling and  behavioral health, psychiatric care, outpatient mental health services, HIV/AIDS  services, medication services, couples counseling, domestic violence victim assistance."
,623-234-9811,,"1840 N 95th Ave, Suite  146",
,623-486-8202,,5701 W Talavi Blvd,
,480-820-0825,,"1255 W Baseline Rd., Ste.  B258",
University of Phoenix  Counseling Skills Center,480-557-2217,,1625 W Fountainhead  Parkway,"Offers counseling services by Masters of  Counseling students. Cannot provide services  for individuals who are suicidal, homicidal, or  actively psychotic, or with any court order  counseling"
Buckeye Outreach for  Social Services,623-386-6365,,501 E Mahoney Ave,"Committed to the prevention and eradication  of HIV/AIDS by providing educational  programs, counseling, and related services to  the communities. Also offers family  
counseling and substance abuse counseling."
Devereux AZ (LM 2/8  EB),480-998-2920,,11000 N Scottsdale Rd.  Ste 260,"Outpatient counseling services for individuals, families, and groups for ADHD, conduct disorders, mood disorders, physical  abuse, sexual abuse, and anxiety disorders."
Tempe Social Services,480-350-5400,,3500 S Rural Rd.,"Provides counseling for individuals, families,  couples, children, and adolescents for  parent/child issues, partner relationship  problems, depression, anxiety, stress, sexual  abuse, grief/loss, trauma, domestic violence,  eating disorders, substance abuse, self-harm,  life transitions. Also provides meditation  services to assist in the resolution of conflicts  among individuals or community groups."
Arizona Children’s Association,480-814-7789,,,Outpatient behavioral health services for  children under the age of 18. Adults can only  be involved in counseling if they are related  to the child or if they are involved in family  therapy.
,480-503-8530,,,
,623-889-0091,,,
,623-414-4325,,,
Chandler Regional Hospital,877-728-5414,,475 S Dobson Rd.,"Offers a variety of free support groups  (cancer, motherhood, and stroke) as well as a  free 6 week grief program."
"BAART Behavioral Health Services, Inc","480-899-0200
Fax: 480-899- 0202",,"908 W Chandler Blvd.,  85225","Adults Only. Behavioral Health and Substance  Abuse Treatment Sliding fee, AHCCCS,  Medicare, Private Insurance"
Desert Horizon Integrative Care,602-470-5520,,"840 E Mckellips #110,  Mesa, AZ 85203",Outpatient psychiatry and counseling. Private  insurance and AHCCCS
"Alcohol Recovery Solutions, Inc",480-496-9760,,"15215 S 48th St., Phoenix,  AZ 85044","Outpatient treatment for alcohol and  chemical dependency, payment plans offered"
University of Phoenix,602-557-2217,,"1625 W Fountainhead  Pkwy, Tempe, AZ",Free individual & Family counseling
Doctor on Demand,,www.doctorondemand.com,,Psychiatry and Counseling Via Video  Conference call
TERROS,602-685-6000,,"4909 E McDowell Rd.,  Phoenix, AZ 85008",
NCADD,602-274-3456,,"4201 N 16th Street Suite  140, Phoenix, AZ 85016",
Celebrate Recovery,602-955-4380,,"3901 E Indian School Rd.,  Phoenix, AZ 85018",
,,,,
CRISIS INTERVENTION,,,,
GENERAL RESOURCES,,,,
Community Bridges/DETOX/LARC,602-273-9999,,,
Sexual Assault Hotline,480-736-4949,,,
EMPACT- SPC Mobile Unit,480-784-1500,,,
Adult Protective Services,877-767-2385,,,
Parenting AZ,602-248-0428,,,
Mercy Care Maricopa,"800-564-5467 OR 
602-586-1841",,,
Suicide Prevention Hotline,1-800-273-8255,,,
Crisis Intervention Line - Maricopa County,1-800-631-1314,,,
,,,,
BEHAVIORAL HEALTH and SUBSTANCE USE RESOURCES,,,,
GENERAL RESOURCES,,,,
Crisis Hotline,602-222-9444,,Maricopa County,
,1-866-495-6735,,"Pinal, Gila, Yuma, La Paz Counties",
,1-800-259-3449,,Gila River,
State Treatment Referral hotline,1-800-662-4357,,,
American Addiction Centers,1-866-537-6237,,,
Center Against Sexual Abuse Crisis Hotline,1-800-656-HOPE (4673),,,
Domestic Violence Shelter Information Line,480-890-3039,,,
"INPATIENT TREATMENT: Psychiatric Evaluation, Detoxification, and Counseling",,,,
Aurora Behavioral Health (Adult and Adolescents),"480-345-5420 
Fax: 480-345-5453",,"6350 S Maple Ave, Tempe, AZ 85283  
6015 W Peoria, Glendale, AZ 85302",
Valley Hospital (Adults Only) ,"602-952-3939 
Fax: 602-952-3922",,"3550 E Pinchot Ave., Phoenix, AZ 85018",
"Freedom Care (For Veterans, Military Members and Families)",Coordinator: 602-377-0295,,,
Quail Run Behavioral Health (Adult and Adolescents),"602-455-5694 
Fax: 602-283-7746",,"2545 W Quail Ave., Phoenix, AZ 85027",*Detox available only when Co-Occurring with Mental Illness
Oasis Behavioral Health (Adult and Adolescents) ,"480-281-5055 
Fax: 480-917-0503",,"2190 N Grace Blvd., Chandler, AZ 85225",*Detox available only when Co-Occurring with Mental illness
"Phoenix St. Luke’s Behavioral Health 
Adolescents, Adults, & Adults 55+ (Generations program)","602-251-8535
Fax: 602-251-8707",,"1800 E Van Buren, Phoenix, AZ 85006",
"Phoenix St. Luke’s Behavioral Health 
Adolescent 23-hour Observation Unit",602-251-8434,,"1800 E Van Buren, Phoenix, AZ 85006",
Mountain Vista Medical Center ,,,"1301 S Crismon Rd., Mesa, AZ 85209",Referral are made through St. Luke’s Behavioral
Banner Behavioral Health ,"602-839-2020 
Fax: 602-839-2477",,,"Adolescent Intake 480-448-7565 
Locations: Banner Del Webb, Banner Thunderbird, Banner University Medical Center and Banner Scottsdale"
