Category,Name,Tags,Services,Eligibility,LatLng,Lat,Lng,Address,Hours of Operation,Phone,Website,Email,Social Media,Rating,Facebook,Instagram,Twitter,Source
AHCCCS PLANS,Mercy Maricopa Integrated,,https://www.mercymaricopa.org/find-provider-mmic,,,,,,,800-564-5465,http://www.mercymaricopa.org,,,,,,,SHOW Clinic
AHCCCS PLANS,LONG TERM CARE HEALTH PLANS (Program Contractors),,"Find a Provider 
(Search within the 10-mile radius)",,,,,,,,,,,,,,,SHOW Clinic
AHCCCS PLANS,LTC DD DES,,https://ddd.azdes.gov/Organization/DDD/DDDProviderSearch,,,,,,,844-770-9500,https://www.azdes.gov/ddd,,,,,,,SHOW Clinic
AHCCCS PLANS,UHC LTC,,http://www.americhoice.com/find_doctor/first.jsp?xplan=uhcaz&xtitle=Doctor,,,,,,,800-293-3740,http://www.uhccommunityplan.com ,,,,,,,SHOW Clinic
AHCCCS PLANS,Bridgeway Health Solution-L,,https://providersearch.bridgewayhs.com/,,,,,,,866-475-3129,http://www.bridgewayhs.com,,,,,,,SHOW Clinic
AHCCCS PLANS,Mercy Care Plan LTC,,https://www.mercycareplan.com/find-a-provider-mcp,,,,,,,602-263-3000,http://www.mercycareplan.com,,,,,,,SHOW Clinic
GENERAL RESOURCES,Need help paying bills,,Provides information and resources regarding assistance programs available at the state or local level.  For additional questions contact at info@needhelppayingbills.com,,,,,,,,http://www.needhelppayingbills.com/index.html,,,,,,,SHOW Clinic
GENERAL RESOURCES,AHCCCS/ALTCS,,How to apply: https://www.azahcccs.gov/Members/ GetCovered/apply.html,INSURANCE APPLICATION,,,,,,602-417-4000; 602-417-7200,"https://www.azahcccs.gov/
www.healthearizonaplus.gov",,,,,,,SHOW Clinic
GENERAL RESOURCES,Empowerment Center at Empowerment Systems,,"Assistance with AHCCCS and other  insurance applications, computer lab  for job searching, produce drop every 4th Wednesday of the month.",INSURANCE APPLICATION,,,,"2066 W Apache Trail, Ste. 116., Apache Junction, AZ 85120 ",,"480-367-6937 
Fax: 480-982- 7320",https://empowermentsystems.org/,,,,,,,SHOW Clinic
GENERAL RESOURCES,Card Replacement,,,DES,,,,,,602-417-4000,myahcccs.com,,,,,,,SHOW Clinic
GENERAL RESOURCES,Customer service,,Family Assistance Administration/Benefit eligibility,DES,,,,,,602-542-9935,,,,,,,,SHOW Clinic
GENERAL RESOURCES,Fraud Hotline,,"10:00 AM to 4:00 PM Eastern Standard Time 
TTY for the deaf/hard of hearing: 1-866-2101",DES,,,,,,1-800-269-0271,http://oig.ssa.gov/report,,,,,,,SHOW Clinic
GENERAL RESOURCES,DES Info Line,,The website provided for this has the direct numbers for all types of healthcare information. The list contains upwards of 20 different  telephone numbers for various healthcare needs,DES,,,,,,602-542-4791,https://des.az.gov/about-des/contact-us/des-program-and-services-contact-numbers,,,,,,,SHOW Clinic
GENERAL RESOURCES,AZ Vital Records,,https://www.azdhs.gov/licensing/vital-records/index.php,IDENTIFICATION,,,,"1818 W Adams PO Box 6018 Phoenix, AZ 85005",,602-364-1300,,,,,,,,SHOW Clinic
GENERAL RESOURCES,Social Security,,"This website link has information for  Social Security offices around the  state, not just in Phoenix. This could  be useful for clients who may be  moving outside of the city but still  need this resource: http://www.ssofficelocation.com/arizona-social-security-offices-sos3",IDENTIFICATION,,,,"250 N 7th Ave, Phoenix, AZ 85007 
16241 N Tatum Blvd, Phoenix, AZ  85032 ",,1-800-772-1213,www.socialsecurity.gov,,,,,,,SHOW Clinic
GENERAL RESOURCES,AZ Motor Vehicle Division,,The website link has information regarding MVD locations,IDENTIFICATION,,,,,,602-255-0072,https://azdot.gov/motor-vehicles/mvd-hours-and-locations,,,,,,,SHOW Clinic
GENERAL RESOURCES,Homeless ID Project,,"Services offered: AZ Driver License, AZ  Identification card, US Birth Certificate, Document Storage 
M-F 7:30 AM & 9:00 AM for Walk-in Sign-ups 
General Questions: info@azhomeless.org ",IDENTIFICATION,"33.44587581818182, -112.08819993939395",,,"206 South 12th Avenue, Phoenix, AZ 85007",,602-223-3427,http://azhomeless.org/index.html,,,,,,,SHOW Clinic
GENERAL RESOURCES,Saint Joseph the Worker,,"Document replacement and travel  aid, Job readiness, Job search, and  employment support",IDENTIFICATION,"33.44500970870827, -112.08632990563385",,,"1125 W Jackson Street, Phoenix, AZ 85007",,602-417-9854,https://www.sjwjobs.org/,,,,,,,SHOW Clinic
GENERAL RESOURCES,Saint Vincent de Paul,,Document replacement and travel aid ,IDENTIFICATION,"33.42595718367347, -112.07853583673469",,,"420 W Watkins Street, Phoenix,  AZ 85003",,480-380-4515,https://www.stvincentdepaul.net/programs,,,,,,,SHOW Clinic
GENERAL RESOURCES,Salvation Army Tempe,,Document replacement and travel aid,IDENTIFICATION,"33.42203395833334, -111.93922547916667",,,"40 E University Dr., Tempe, AZ  85280",,480-967-8649,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Healthcare for the Homeless,,"Health Care for the Homeless (HCH) provides health care services for homeless individuals  and families throughout Maricopa County.  We deliver quality healthcare to homeless  people through street outreach, integrated  primary care, mental health services, substance abuse services, case management, and nutrition services.",FREE HEALTH CARE,"33.44584739393939, -112.0881997979798",,,"220 S 12th Avenue Phoenix, AZ 85007",,602-372-2100,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Mission of Mercy Mobile Clinic,,"Free mobile medical clinic serving the uninsured working poor and homeless persons of all ages with no sliding scales or co-pays. Offers primary care, child services,  diabetes program, and prescription services. Appointment is required. No walk-ins. Does not offer dental care. ",FREE HEALTH CARE,"33.467822, -112.0666311",,,"360 E Coronado Rd. #160 Phoenix, AZ 85004",,602-861-2233,www.amissionofmercy.org,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Mission of Mercy Mobile Clinic,,,FREE HEALTH CARE,,,,"First Southern Baptist Church of Avondale 
1001 N Central Ave, Avondale, AZ 85323",,623-932-2723 (Mondays),,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Mission of Mercy Mobile Clinic,,,FREE HEALTH CARE,,,,"Maryvale Church of Nazarene 
3201 N 51st Ave, Phoenix, AZ 85031",,"602-486-7798 (1st, 3rd Tuesdays)",,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Mission of Mercy Mobile Clinic,,,FREE HEALTH CARE,"41.61742155, -87.8018131118518",,,"Black Family & Child Services of Arizona 
1522 E. Southern Ave,  Phoenix, AZ 85042",,"602-486-7798 (2nd, 4th Tuesdays)",,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Mission of Mercy Mobile Clinic,,,FREE HEALTH CARE,,,,"Shepherd of the Valley Lutheran Church 
1500 W Maryland Ave, Phoenix, AZ 85015",,602-486-7798 (Wednesdays),,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Mission of Mercy Mobile Clinic,,,FREE HEALTH CARE,"31.843685999999998, -102.3524300462433",,,"Murphy Education & Health Center 
3140 W Buckeye Rd., Phoenix, AZ 85009",,"602-486-7798 (2nd, 4th Fridays)",,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Mission of Mercy Mobile Clinic,,,FREE HEALTH CARE,,,,"Christ the King Community Center 
1616 E Broadway Rd., Mesa, AZ 85204",,602-486-7798 (Thursdays),,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Salvation Army,,"Helps disaster survivors, cure hunger, overcome poverty, fight human trafficking, stop domestic abuse, equip families, teach kids, empower arts, assist the unemployed, combat addiction, love the elderly, serve veteran, share God’s love. Prescription Drug Assistance Program.",FREE HEALTH CARE,"33.4998585, -112.04724144151535",,,"4343 N 16th Street, Phoenix AZ 85016",,602-553-0988,http://www.salvationarmyusa.org/,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Salvation Army,,,FREE HEALTH CARE,"33.45510631280325, -112.07779975915096",,,"628 N 3rd Ave, Phoenix, AZ 85003",,602-252-4478,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Salvation Army,,,FREE HEALTH CARE,"33.45073745, -112.02447373916416",,,"2707 E Van Buren St, Phoenix, AZ 85008",,602-267-4100,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Salvation Army,,,FREE HEALTH CARE,"33.43283328571428, -112.07365026530613",,,"1625 S Central Ave, Phoenix, AZ 85004",,602-256-4500,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Salvation Army,,,FREE HEALTH CARE,"33.448029887755105, -112.0235748367347",,,"2702 E Washington St,  Phoenix, AZ 85034",,602-267-4122,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Salvation Army,,,FREE HEALTH CARE,"33.49145328666649, -112.15219647589682",,,"4318 W Clarendon Ave,  Phoenix, AZ 85031",,602-233-9272,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,St. Vincent de Paul Health Center/Friends of St. Ann ,,"Loans out home medical equipment for those in need.  Monday-Friday, 9:00 am 4:00 pm",HOME MEDICAL EQUIPMENTS,,,,"420 West Watkins Road,  Phoenix, AZ 85003",,602-261-6896,https://www.stvincentdepaul.net/programs,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Southwest Lending Closet ,,"Loans out medical equipment. 
MWF, 9:00 am- 12:00 pm 
T/TH, 12:00 pm- 3:00 pm Sat, 9:00 am- 12:00 pm",HOME MEDICAL EQUIPMENTS,"33.43737230612245, -112.34978044897959",,,"218 North Central Avenue, Avondale, AZ 85323",,623-932-1016,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,RX Outreach,,Patient assistance program. Non-profit mail order pharmacy.,PRESCRIPTION ASSISTANCE PROGRAMS,,,,,,"1-800-769-3880 
1-888-796-1234",www.rxoutreach.com,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Glaxo Bridges to Access,,Patient Assistance Program/Free Medications,PRESCRIPTION ASSISTANCE PROGRAMS,,,,,,1-888-825-5249,https://www.gskforyou.com/,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Medication Assistance,,Discounted Medication programs; Medication Rebates and Coupons by Medication Brand,PRESCRIPTION ASSISTANCE PROGRAMS,,,,,,800-503-6897,www.needymeds.org,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Partnership for Prescription Assistance,,Helps qualifying patients get coverage for prescriptions through public/private programs,PRESCRIPTION ASSISTANCE PROGRAMS,,,,,,,www.pparx.org/Intro.php,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Copper Rx Card/ Arizona Rx Card,,"Diabetic supplies, prescription assistance, pet pharmacy assistance. Offers drug discounts ranging from 15-55% will cover supplies such as insulin, glucometers, syringes & test strips",PRESCRIPTION ASSISTANCE PROGRAMS,,,,,,1-888-227-8315,Arizonarxcard.com,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Community Assistance Program,,Rx medication Card a Community Assistance  Program to help the uninsured & underinsured,PRESCRIPTION ASSISTANCE PROGRAMS,,,,,,888-311-6224,Caprxprogram.org,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,FamilyWize,,"Discounted Prescription Drug Card program.  You get the familywize card via app, email, or text.",PRESCRIPTION ASSISTANCE PROGRAMS,,,,,,866-810-3784,www.familywize.org,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Circle the City,,Provides Sub-Acute Care for the homeless  population,MEDICAL RESPITE CARE,"33.49448555, -112.08000051590219",,,"333 West Indian School  Rd., Phoenix, AZ 85013",,602-776-9000,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Respite Shelter,,"Men discharged from a hospital.  
respiteshelter@yahoo.com 
S/W pager: 602-201-3999",MEDICAL RESPITE CARE,,,,"7000 N Central Ave, Bldg  F, Phoenix, AZ 85020",,602-870-4353,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Hospice of the Valley,,Care for the terminally ill patients and their  families,HOSPICE,,,,,,602-530-6900,https://www.hov.org/,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Chandler Regional Hospital Adult Immunization Hotline,,Free immunizations for uninsured and  underinsured adults at walk-in clinics. Initial  administration fee of $15. TB tests given  monthly. Call for times and locations.,"Available in various pharmacies (e.g. Walgreens, Walmart, CVS, etc.). Check which pharmacy will be covered by your insurance.",,,,,,480-728-2004,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Chandler Regional Hospital Children’s Immunization Hotline,,"Free immunization for children who are  uninsured or underinsured, AHCCCS, Kids  Care, and Indian Health Care. Call for times  and locations of upcoming walk- in clinics.","Available in various pharmacies (e.g. Walgreens, Walmart, CVS, etc.). Check which pharmacy will be covered by your insurance.",,,,,,480-728-3777,,,,,,,,SHOW Clinic
MEDICAL HEALTH SERVICES,Banner School-Based  Health Services,,Cost effective service. Accessible through  your child’s school nurse. Several schools  around the valley. Students do not need to  attend these schools in order to receive care.,SCHOOL- BASED HEALTH SERVICES,,,,,,480-412-6344,https://www.dvusd.org/cms/lib/AZ01901092/Centricity/Domain/591/CCMCSchoolBasedClinicsFSv5.pdf,,,,,,,SHOW Clinic
COUNSELING,Dorothy B. Mitchell Counseling Center (A New Leaf),,"Confidential services for children, youth, and  their families. Counseling, case management,  medication management.",GENERAL RESOURCES,"33.42226465, -111.794873775",,,"1655 E University Dr., Mesa, AZ 85203",,480-969-6955,http://www.turnanewleaf.org/services/youth-behavioral.html,,,,,,,SHOW Clinic
COUNSELING,West Valley Community  Behavioral Health (A New Leaf),,,GENERAL RESOURCES,"33.56178981562026, -112.19046761449776",,,"8581 N 61st Avenue, Glendale, AZ 85302",,623-934-1991,,,,,,,,SHOW Clinic
COUNSELING,AmeriPsych,,"Outpatient counseling- to enhance interpersonal skills such as feeling and anger  management, problem solving, conflict resolution, making sound decisions, and effective parenting. School Based Counseling  for children who struggle academically or socially due to behavioral issues such as short  attention span, impulsivity, and/or poor  anger management. Family therapy also  available.",GENERAL RESOURCES,,,,"2400 W Dunlap Ave, Ste 124, Phoenix, AZ 85021",,602-728-0630,http://www.ameripsych.biz/locations.cfm,,,,,,,SHOW Clinic
COUNSELING,Arizona Marriage and  Family Therapy Clinic,,"Offers individual, couple, premarital, family,  and group counseling services. Fee for service, starts at $35/hour, takes some insurances. ",GENERAL RESOURCES,,,,"6100 W Gila Springs Place, Suite 19, Chandler, AZ 85226",,480-282-8778,http://www.azmftclinic.org/,,,,,,,SHOW Clinic
COUNSELING,ASU Clinical Psychology Center,,"Child and family team: provides counseling  for a child anxiety and/or mood disorder,  family therapy, ADHD, parent-child  
communication, divorce adjustment,  reducing tantrums, and social skills. 
Health and wellness team: provides  
counseling for depression and anxiety  associated with adjusting to a medical  diagnosis, headache/migraine, chronic pain  symptoms, stress related to a cancer  diagnosis, fatigue or difficulty sleeping, any  medical condition complicated by stress",GENERAL RESOURCES,,,,"1100 E University Drive.,  Tempe, AZ (University  Center Bldg., Suite 116)",,480-965-7296,,,,,,,,SHOW Clinic
COUNSELING,ASU Counseling Center,,"Counseling services for family problems,  relationships, depression, anxiety, family  problems, personal problems, career counseling",GENERAL RESOURCES,"49.2827136, -123.1097142",,,Downtown Phoenix,,602-496-1155,,,,,,,,SHOW Clinic
COUNSELING,ASU Counseling Center,,,GENERAL RESOURCES,"7.4386473, 3.8803131",,,Polytechnic,,480-727-1255,,,,,,,,SHOW Clinic
COUNSELING,ASU Counseling Center,,,GENERAL RESOURCES,"33.4255056, -111.9400091",,,Tempe,,480-965-6146,,,,,,,,SHOW Clinic
COUNSELING,ASU Counseling Center,,,GENERAL RESOURCES,"0.5090396, 34.5731341",,,West,,602-543-8125,,,,,,,,SHOW Clinic
COUNSELING,Banner Behavioral Health Hospital,,Inpatient substance abuse and mental health. Outpatient- Mental health and substance  abuse services. The Villa- Residential  substance abuse services- geared especially  for veterans,GENERAL RESOURCES,,,,"7575 E Earl Dr., Scottsdale, AZ 85251",,480-941-7500,,,,,,,,SHOW Clinic
COUNSELING,Black Family and Child Services,,"Provides behavior health counseling for  children ages 3-17. Substance abuse counseling for adults ages 18-65. Provides  alcohol screening, DUI and domestic violence  counseling.",GENERAL RESOURCES,"33.392799020367576, -112.04899531556676",,,"1522 E Southern Avenue,  Phoenix, AZ 85040",,602-243-1773,,,,,,,,SHOW Clinic
COUNSELING,"Catholic Charities  
Community Services",,"Behavioral health counseling for individuals,  couples, families, and children. No AHCCCS  patients. 
",GENERAL RESOURCES,,,,"2220 S Country Club Drive, Suites 106, 108,  Mesa, AZ 85210",,602-749-4405,https://www.catholiccharitiesaz.org/about-us/history,,,,,,,SHOW Clinic
COUNSELING,"Catholic Charities  
Community Services",,,GENERAL RESOURCES,"33.552530649999994, -112.09864020040212",,,"1825 W Northern Avenue, Phoenix, AZ 85021",,602-997-6105,,,,,,,,SHOW Clinic
COUNSELING,"Catholic Charities  
Community Services",,,GENERAL RESOURCES,"36.75713879387013, -119.92330442631226",,,"7400 W Olive Avenue,  #10, Peoria, AZ 85345",,623-486-9868,,,,,,,,SHOW Clinic
COUNSELING,Center for Autism and  Related Disorders,,"Offers therapy to children with behavioral  problems, short term therapy for families  and children up to age 5 ",GENERAL RESOURCES,,,,"290 S Alma School Rd.,  Suite 01, Chandler, AZ  85224",,480-812-2110,https://www.centerforautism.com/home.aspx,,,,,,,SHOW Clinic
COUNSELING,Center for Autism and  Related Disorders,,,GENERAL RESOURCES,,,,"538 S Gilbert Rd., Suite 101-103, Gilbert, AZ 85296",,480-482-5005,,,,,,,,SHOW Clinic
COUNSELING,Center for Autism and  Related Disorders,,,GENERAL RESOURCES,,,,"2400 W Dunlap Ave.,  Suite 100, Phoenix, AZ  85021",,602-325-2485,,,,,,,,SHOW Clinic
COUNSELING,Center for Autism and  Related Disorders,,,GENERAL RESOURCES,,,,"15721 N Greenway Hayden Loop, Suite 103,  Scottsdale, AZ 85260",,602-362-4200,,,,,,,,SHOW Clinic
COUNSELING,Center for Autism and  Related Disorders,,,GENERAL RESOURCES,"32.254541, -110.881956",,,"2600 N Wyatt Dr., Tucson, AZ 85712",,520-585-5755,,,,,,,,SHOW Clinic
COUNSELING,Centro de Amistad,,Focuses on mental health and substance  abuse services,GENERAL RESOURCES,"33.481485, -112.129982",,,"2923 N 33rd Ave., Phoenix, AZ 85017",,602-393-3840,,,,,,,,SHOW Clinic
COUNSELING,Centro de Amistad,,,GENERAL RESOURCES,"33.37168005446801, -111.96326140524387",,,"8202 Avenida del Yaqui, Guadalupe, AZ 85283",,480-839-2926,,,,,,,,SHOW Clinic
COUNSELING,Centro de Amistad,,,GENERAL RESOURCES,,,,"460 N Mesa Drive, Suite 120, Mesa, AZ 85201",,480-833-0227,,,,,,,,SHOW Clinic
COUNSELING,Chicanos Por La Causa,,"Outpatient behavioral health for families,  adults, children, and adolescents.  
Psychological and psychiatric treatment and  counseling for HIV prevention.",GENERAL RESOURCES,"33.49492162791993, -112.20483125940942",,,"6850 W Indian School  Rd., Phoenix, AZ 85033",,623-247-0464,,,,,,,,SHOW Clinic
COUNSELING,Chicanos Por La Causa,,,GENERAL RESOURCES,"33.40879223021583, -111.84846155395684",,,"310 S Extension Rd., Mesa, AZ 85210",,480-615-3800,,,,,,,,SHOW Clinic
COUNSELING,Chicanos Por La Causa,,,GENERAL RESOURCES,"33.437784, -112.05795746308725",,,"1107 E Tonto St., Phoenix, AZ 85034",,602-241-6656,,,,,,,,SHOW Clinic
COUNSELING,Chicanos Por La Causa,,Level II treatment program and transitional  living program for substance abuse.,GENERAL RESOURCES,"33.44223619284884, -112.13751837735933",,,"3639 W Lincoln St., Phoenix, AZ 85009",,602-233-9747,,,,,,,,SHOW Clinic
COUNSELING,Chicanos Por La Causa,,,GENERAL RESOURCES,"33.49492162791993, -112.20483125940942",,,"6850 W Indian School Rd., Phoenix, AZ 85033",,623-247-0464,,,,,,,,SHOW Clinic
COUNSELING,Child Crisis/Family Resource Center,,"Child Crisis Center offers behavioral counseling to children ages 0-17 and their  families. Children must be on AHCCCS and  referred through the Southwest Network.  Services available for child abuse and neglect,  
foster care and adoption, attachment and",GENERAL RESOURCES,,,,"817 N Country Club, Mesa, AZ 85201 (Family Resource Center)",,480-834-9424,,,,,,,,SHOW Clinic
COUNSELING,Child Crisis/Family Resource Center,,,GENERAL RESOURCES,,,,"604 W 9th St., Mesa, AZ  85201 (Emergency Children’s Shelter)",,480-969-2308,,,,,,,,SHOW Clinic
COUNSELING,Child Crisis/Family Resource Center,,,GENERAL RESOURCES,,,,"2711 E Roosevelt, Phoenix, AZ 85008 (Emergency Children’s Shelter)",,602-273-7364,,,,,,,,SHOW Clinic
COUNSELING,Child Crisis/Family Resource Center,,,GENERAL RESOURCES,,,,"2334 E Polk ST., Phoenix,  AZ 85006 (Child Crisis)",,602-273-7363,,,,,,,,SHOW Clinic
COUNSELING,Christian Counseling  (Dream City Church),,Christian based counseling for those  presently experiencing challenges or crisis.  Also offers variety of support groups. ,GENERAL RESOURCES,"33.674661605956544, -112.22027335380515",,,"21000 N 75th Ave., Glendale, AZ 85308",,623-561-0500,http://dreamcitychurch.us/,,,,,,,SHOW Clinic
COUNSELING,Christian Living Center,,"Christian substance abuse and mental health  counseling, marriage and family counseling. ",GENERAL RESOURCES,"33.3782381, -111.8964509",,,"2111 E Baseline Rd., #C8,  Tempe, AZ 85283",,480-831-1212,http://christiancounselingarizona.com/,,,,,,,SHOW Clinic
COUNSELING,"Christi Center for Loss  and Renewal (St.  
Timothy Catholic  
Church)",,Offers grief support and counseling for children and families. ,GENERAL RESOURCES,"33.365309100000005, -111.87051854858072",,,"1730 W Guadalupe Rd.,  Mesa, AZ 85202",,480-775-5200,http://sttimothymesa.org/,,,,,,,SHOW Clinic
COUNSELING,Chrysalis,,"Victim counseling for adults, counseling for  children ages 3-17 that have experienced  domestic violence in the home, Program  Chair meets the special needs of Jewish  families experiencing domestic violence.",GENERAL RESOURCES,"33.55302465306123, -112.1028263265306",,,"2055 W Northern Ave., Phoenix, AZ 85021",,602-955-9059,https://noabuse.org/contact-us,,,,,,,SHOW Clinic
COUNSELING,Deer Valley Counseling,,Offers individual and group counseling ,GENERAL RESOURCES,,,,"2301 W Dunlap Ave, Ste  206, Phoenix, AZ 85021",,602-750-8051,https://deerval.com/,,,,,,,SHOW Clinic
COUNSELING,Deer Valley Counseling,,,GENERAL RESOURCES,,,,"3200 N Dobson Rd., Bldg. C, Chandler, AZ 85224",,480-491-0813,,,,,,,,SHOW Clinic
COUNSELING,Deer Valley Counseling,,,GENERAL RESOURCES,"33.5906856, -111.9285327",,,"15849 N 71st St., Scottsdale, AZ 85254",,602-535-5700,,,,,,,,SHOW Clinic
